0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0
1.49,1.48,1.47,1.47,1.45,1.45,1.44,1.43,1.43,1.41
1.48,1.46,1.46,1.44,1.44,1.43,1.42,1.41,1.4,1.41
1.46,1.45,1.44,1.42,1.42,1.41,1.4,1.38,1.4,1.42
1.45,1.43,1.42,1.41,1.39,1.38,1.37,1.38,1.39,1.4
1.4,1.38,1.37,1.37,1.35,1.35,1.36,1.37,1.38,1.39
1.38,1.37,1.36,1.34,1.34,1.34,1.35,1.36,1.36,1.38
1.35,1.34,1.34,1.32,1.33,1.33,1.34,1.35,1.37,1.37
1.33,1.32,1.31,1.32,1.32,1.33,1.34,1.34,1.35,1.36
1.3,1.29,1.3,1.31,1.32,1.32,1.32,1.33,1.33,1.35
1.28,1.29,1.29,1.3,1.31,1.31,1.32,1.32,1.34,1.34